Kód ADM;Kód obce;Název obce;Název MOMC;Název MOP;Kód èásti obce;Název èásti obce;Název ulice;Typ SO;Èíslo domovní;Èíslo orientaèní;Znak èísla orientaèního;PSÈ;Souøadnice Y;Souøadnice X;Platí Od
11711167;538639;Polerady;;;125211;Polerady;;è.p.;1;;;25063;728657.89;1032303.64;2013-12-04T00:00:00
11711175;538639;Polerady;;;125211;Polerady;;è.p.;2;;;25063;728685.21;1032296.13;2013-12-04T00:00:00
11711183;538639;Polerady;;;125211;Polerady;;è.p.;3;;;25063;728391.45;1032260.36;2013-12-04T00:00:00
11711191;538639;Polerady;;;125211;Polerady;;è.p.;4;;;25063;728748.53;1032269.66;2013-12-04T00:00:00
11711205;538639;Polerady;;;125211;Polerady;;è.p.;5;;;25063;728836.27;1032248.74;2013-12-04T00:00:00
11711213;538639;Polerady;;;125211;Polerady;;è.p.;6;;;25063;729017.06;1032154.03;2013-12-04T00:00:00
11711221;538639;Polerady;;;125211;Polerady;;è.p.;7;;;25063;728930.62;1032200.64;2013-12-04T00:00:00
11711230;538639;Polerady;;;125211;Polerady;;è.p.;8;;;25063;728906.29;1032210.79;2013-12-04T00:00:00
11711248;538639;Polerady;;;125211;Polerady;;è.p.;10;;;25063;728892.43;1032147.19;2013-12-04T00:00:00
11711256;538639;Polerady;;;125211;Polerady;;è.p.;11;;;25063;728870.03;1032148.26;2013-12-04T00:00:00
11711264;538639;Polerady;;;125211;Polerady;;è.p.;12;;;25063;728828.39;1032163.51;2013-12-04T00:00:00
11711272;538639;Polerady;;;125211;Polerady;;è.p.;14;;;25063;728744.70;1032235.12;2013-12-04T00:00:00
11711281;538639;Polerady;;;125211;Polerady;;è.p.;15;;;25063;728710.31;1032246.09;2013-12-04T00:00:00
11711299;538639;Polerady;;;125211;Polerady;;è.p.;16;;;25063;728679.40;1032251.38;2013-12-04T00:00:00
11711302;538639;Polerady;;;125211;Polerady;;è.p.;17;;;25063;729066.51;1032112.64;2013-12-04T00:00:00
11711311;538639;Polerady;;;125211;Polerady;;è.p.;18;;;25063;728964.66;1032180.60;2013-12-04T00:00:00
11711329;538639;Polerady;;;125211;Polerady;;è.p.;19;;;25063;728900.66;1032177.85;2013-12-04T00:00:00
11711337;538639;Polerady;;;125211;Polerady;;è.p.;20;;;25063;728613.30;1032227.74;2013-12-04T00:00:00
11711345;538639;Polerady;;;125211;Polerady;;è.p.;21;;;25063;728404.47;1032273.30;2013-12-04T00:00:00
11711353;538639;Polerady;;;125211;Polerady;;è.p.;22;;;25063;729045.39;1032126.16;2013-12-04T00:00:00
11711361;538639;Polerady;;;125211;Polerady;;è.p.;25;;;25063;728726.25;1032268.85;2013-12-04T00:00:00
11711370;538639;Polerady;;;125211;Polerady;;è.p.;26;;;25063;728991.95;1032166.70;2013-12-04T00:00:00
11711388;538639;Polerady;;;125211;Polerady;;è.p.;27;;;25063;728420.49;1032289.24;2013-12-04T00:00:00
11711396;538639;Polerady;;;125211;Polerady;;è.p.;28;;;25063;728432.70;1032300.59;2013-12-04T00:00:00
11711400;538639;Polerady;;;125211;Polerady;;è.p.;29;;;25063;728603.85;1032345.07;2013-12-04T00:00:00
11711418;538639;Polerady;;;125211;Polerady;;è.p.;30;;;25063;728569.50;1032297.55;2013-12-04T00:00:00
11711426;538639;Polerady;;;125211;Polerady;;è.p.;31;;;25063;728977.95;1032172.60;2013-12-04T00:00:00
11711434;538639;Polerady;;;125211;Polerady;;è.p.;32;;;25063;727697.00;1031916.69;2013-12-04T00:00:00
11711442;538639;Polerady;;;125211;Polerady;;è.p.;33;;;25063;727760.99;1031861.41;2013-12-04T00:00:00
11711451;538639;Polerady;;;125211;Polerady;;è.p.;34;;;25063;728490.39;1032279.97;2013-12-04T00:00:00
11711469;538639;Polerady;;;125211;Polerady;;è.p.;35;;;25063;;;2011-07-01T00:00:00
11711477;538639;Polerady;;;125211;Polerady;;è.p.;36;;;25063;728468.31;1032262.14;2013-12-04T00:00:00
11711485;538639;Polerady;;;125211;Polerady;;è.p.;38;;;25063;728456.76;1032249.71;2013-12-04T00:00:00
11711493;538639;Polerady;;;125211;Polerady;;è.p.;39;;;25063;728876.78;1032155.32;2013-12-04T00:00:00
11711507;538639;Polerady;;;125211;Polerady;;è.p.;40;;;25063;728445.38;1032237.29;2013-12-04T00:00:00
11711515;538639;Polerady;;;125211;Polerady;;è.p.;41;;;25063;728436.62;1032228.44;2013-12-04T00:00:00
